alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline,target
11.07715881,1.505779612,1.790797784,15.34496651,163.0360547,1.94897728,0.775909403,-0.068405758,2.537851682,2.643366309,1.212393874,3.510831453,776.3505915,1
12.80574078,2.246771766,2.626048745,27.49892994,105.2410331,2.212367509,1.218035328,0.742154926,1.998646164,6.988859198,0.463012481,1.56372951,405.4934208,2
11.73257319,2.741142991,2.620968784,21.02127307,102.8820177,1.682977352,0.824322624,0.704480212,1.095719436,5.65267221,0.906216293,2.280326464,542.7203313,2
14.51660398,1.608079825,3.043970246,23.08392913,95.72007923,3.476518864,3.271637467,0.489399553,2.201825713,4.668783541,0.99934485,2.668561109,1165.758777,0
11.8208401,2.213320057,2.377138331,17.99319578,94.517177,3.027662702,2.809029818,0.448197311,1.621068759,3.358777061,0.969598838,3.429000678,679.4833944,1
12.84082148,3.3302108,2.567242632,21.74185807,112.705684,1.904158252,0.775528834,0.367125395,1.069328847,5.25598027,0.710225972,1.884492904,532.3575806,2
11.58784597,1.111208176,2.062472204,18.52557748,101.4722885,1.681701245,0.567301161,0.860623835,1.253894409,8.29270936,0.583599092,1.668524646,658.5320824,2
12.31228716,1.8325711,2.174397633,19.55846542,95.18175528,2.944039721,2.17126883,0.107047933,1.791840517,2.922070738,1.085454342,2.739797288,315.5323508,1
10.61426438,2.46320528,2.485075569,22.48626061,124.2096565,1.85527098,0.970582005,0.238334523,1.450790137,2.362576263,0.823289442,2.694881991,594.4669773,1
15.20197583,1.652429016,2.398577777,21.68689535,109.3185852,3.255188586,2.975408744,0.349577196,2.678076149,6.00266954,1.149922791,2.997485228,1147.823319,0
15.24210482,1.697377679,1.941712767,14.76789174,86.52664586,2.756915604,2.201332037,0.161739551,2.104071289,4.319357721,1.352154231,3.77222237,1139.129002,0
11.81783753,2.35388589,3.174171364,21.00364071,123.0361079,1.646345592,1.088317913,-0.42933275,1.501967715,2.416461228,1.039581617,2.457609809,589.8339055,1
15.70095776,1.46934141,2.343792987,14.29620371,91.3333052,3.093436218,2.982222419,0.316049017,2.31049424,5.362094027,1.414278907,2.485998615,1071.809506,0
15.52960935,2.236772722,2.113777955,19.85340819,100.1090495,1.62182458,0.568692385,0.632051673,1.071481377,10.62286969,0.478780843,2.107941202,717.1975332,2
12.44082021,0.932336082,2.514547362,19.74396138,105.4369879,2.751985532,3.133246587,0.507965748,2.209986181,4.457622873,1.655375671,2.142949952,672.8511173,1
11.2372145,0.917069353,2.452462064,18.38037521,92.99032992,2.205503821,2.158265958,0.428605489,2.027153515,2.935237839,0.393799185,3.451409082,473.5599182,1
11.80688942,3.7427256,2.297402953,18.23153121,101.6700807,3.129027166,3.105442575,-0.142574398,3.06074591,3.227611248,0.867112765,2.4854381,617.0562363,1
13.5108996,1.673515593,1.72951961,17.40499292,93.39284244,2.648051498,1.092688619,0.090444875,0.57420102,6.346596553,0.700257108,1.516253704,425.9000324,1
13.19396051,3.48137067,2.402969089,19.08964418,107.8469787,2.47631557,2.642119038,0.20913219,1.603656497,4.128342044,1.023619076,2.353679112,695.2218168,0
14.12805049,3.536075187,2.206253603,21.7913335,103.9916829,1.278095399,0.28863095,0.568630693,1.29846312,3.96152578,0.607609718,1.661611099,769.4431797,2
12.35903779,3.597411725,2.242966297,20.5876348,87.00227787,2.063432084,1.59157588,0.579283255,2.035837546,1.293276899,0.764232032,3.053502925,528.8856325,1
12.58248167,3.25233596,2.231207433,20.10735278,104.1630579,1.471210474,0.344858425,0.606684981,1.191010118,3.747387406,0.895008575,1.767019106,888.8000368,2
